run,bucket,total,solved,success_rate,mean_time,median_time,mean_iterations,propagation_only_count,propagation_only_rate
1,easy,100,100,1.0,0.0035237709985813125,0.0030645999941043556,0,100,1.0
1,medium,100,100,1.0,0.004096675002365373,0.0032358499884139746,0.03,97,0.97
1,hard,100,100,1.0,0.0075417679967358705,0.003211199975339696,0.17,87,0.87
1,expert,100,100,1.0,0.01885058499814477,0.00383365000016056,0.59,61,0.61
2,easy,100,100,1.0,0.0019208120048278942,0.0018512499518692493,0,100,1.0
2,medium,100,100,1.0,0.002120501999743283,0.0019524499657563865,0.01,99,0.99
2,hard,100,100,1.0,0.005400331001728773,0.0020543999853543937,0.19,88,0.88
2,expert,100,100,1.0,0.021624850000371225,0.0034724999859463423,0.79,58,0.58
3,easy,100,100,1.0,0.0038976340048247947,0.003853200003504753,0,100,1.0
3,medium,100,100,1.0,0.004048541003139689,0.0029910500161349773,0.02,98,0.98
3,hard,100,100,1.0,0.007081150997546502,0.0029590499761980027,0.15,86,0.86
3,expert,100,100,1.0,0.022360975998453797,0.004623200016794726,0.7,56,0.56
4,easy,100,100,1.0,0.0032025219994829966,0.003024600009666756,0,100,1.0
4,medium,100,100,1.0,0.003243494000053033,0.0030286999826785177,0,100,1.0
4,hard,100,100,1.0,0.009464717996888795,0.003957899985834956,0.21,84,0.84
4,expert,100,100,1.0,0.02430154100060463,0.0037178499915171415,0.84,60,0.6
5,easy,100,100,1.0,0.0019232860038755461,0.0018744500121101737,0,100,1.0
5,medium,100,100,1.0,0.0021165840030880644,0.001953250030055642,0.01,99,0.99
5,hard,100,100,1.0,0.0063749060040572654,0.0020181500003673136,0.34,82,0.82
5,expert,100,100,1.0,0.008490791998920031,0.0020186500041745603,0.48,64,0.64
6,easy,100,100,1.0,0.0020271370018599554,0.001999050029553473,0,100,1.0
6,medium,100,100,1.0,0.0020370169961825015,0.001994099991861731,0,100,1.0
6,hard,100,100,1.0,0.0044609030015999454,0.0020117000094614923,0.18,91,0.91
6,expert,100,100,1.0,0.00865010799956508,0.0021527500066440552,0.47,65,0.65
7,easy,100,100,1.0,0.0020476429985137657,0.0020105000003241003,0,100,1.0
7,medium,100,100,1.0,0.0021788309974363072,0.00202604997321032,0.01,99,0.99
7,hard,100,100,1.0,0.0049649089993909,0.0020437499624677002,0.21,86,0.86
7,expert,100,100,1.0,0.011658955001039431,0.002246549993287772,0.69,57,0.57
8,easy,100,100,1.0,0.003090892007458024,0.002978299977257848,0,100,1.0
8,medium,100,100,1.0,0.003214778002584353,0.0029485499835573137,0.01,99,0.99
8,hard,100,100,1.0,0.007379916000063531,0.0031765000021550804,0.17,85,0.85
8,expert,100,100,1.0,0.02099776600196492,0.004862300003878772,0.7,54,0.54
9,easy,100,100,1.0,0.0020048240025062115,0.001974100014194846,0,100,1.0
9,medium,100,100,1.0,0.0020365810010116547,0.001992399978917092,0,100,1.0
9,hard,100,100,1.0,0.005183947002515197,0.002056199999060482,0.22,81,0.81
9,expert,100,100,1.0,0.011322483997792005,0.002252449980005622,0.67,55,0.55
10,easy,100,100,1.0,0.0019909339991863815,0.001953450031578541,0,100,1.0
10,medium,100,100,1.0,0.0020035169989569114,0.0019452000269666314,0,100,1.0
10,hard,100,100,1.0,0.006735871998243965,0.0020408499985933304,0.34,76,0.76
10,expert,100,100,1.0,0.009350413000793195,0.002217800007201731,0.51,57,0.57
