bucket,puzzle,solved,valid_solution,solve_time_seconds,history_length,final_num_fixed,propagation_only,error
easy,..69.37244.98...5632.4..8.9.1..94..7...675......1.894.89..36475653..1.987.25896.1,True,True,0.002974500006530434,0,81,True,
easy,.14..69..6.819.245.97.45.361.94.87.38.3.7.6.2...9.2.1.981....6..6271.589.756..321,True,True,0.0025403000181540847,0,81,True,
easy,38.76.5...1.34.89..4..19..71.8.3.67593.576.28..61.893.89..537.64..6.728..6..8.459,True,True,0.0026968999882228673,0,81,True,
easy,6.37489.5.5...3467147.56.2.21839.57639456.18.5..8.239.98..75.31.6....7...35.8.2..,True,True,0.0026421999791637063,0,81,True,
easy,5.7.9..1.9.4183257.824..93.21354..7989567..4...69321853.87.4.9..498.5..37513..4..,True,True,0.0025659999810159206,0,81,True,
easy,.3...7498...19..56.6583412..139.5...8..4712..45..268.93.86..7..57124.963649.13.8.,True,True,0.002599500003270805,0,81,True,
easy,.1.2639843.9..5.6.4.2....35.2.4..57..945.6312..53.28.993.624..1.417..693756.31..8,True,True,0.002777300018351525,0,81,True,
easy,7..159.822418.6..7..5247.3.12.4.567989..71325.67923.1.31.562..8.7.3..561.5..1...3,True,True,0.002931600029114634,0,81,True,
easy,143.75628....23945.92.4.1.72.438.....8526..1437645189.421......638712.597.96..28.,True,True,0.0027233000146225095,0,81,True,
easy,3.72.19...8.39.2.7295...8131.3548679...97.1..97.123.588197.45266..85279.7....9.8.,True,True,0.00284030003240332,0,81,True,
medium,.9.2417....4...1.6.5.936.2...84..2..4.......56..1..94.9816.4...543812.79...39....,True,True,0.002946100023109466,0,81,True,
medium,.5...27344971....6.8.4.719512...8...36....9429...4.38.81.........67.9...7.2..3.5.,True,True,0.004200700030196458,0,81,True,
medium,7.84.19..9.1256.......9.124132984.7.8.4...213.67...4......4.76...976..4.476.12.9.,True,True,0.004581300017889589,0,81,True,
medium,...4..5..91..35467.......1312357..4.894.62.75.67.941....864.75.641.5.2.8759.8....,True,True,0.003448300005402416,0,81,True,
medium,6.4.......3.287....8..4...3.1.3..6.5.456.1.38.76.5..94......7424..7.836..6..2.5..,True,True,0.004022500012069941,0,81,True,
medium,...7.8.317.....45.591.46..7....8967.8....7.93..75.3.8..18.35.4..74.2.568.....43..,True,True,0.003843700047582388,0,81,True,
medium,8.7....122358....741....893..8...67435..7612867.....359.15...4.5.2..1..97.3.4..5.,True,True,0.002917099976912141,0,81,True,
medium,81..2.74.326.4.8..4...56..313...2..7.9467.3..567.1....9.1.3..74..2..1......9.42..,True,True,0.002949099987745285,0,81,True,
medium,4.981.653.689........34689..32...9.58....23716...932....125..36........875.6.14..,True,True,0.002711899986024946,0,81,True,
medium,..52..84.6......57..4857..6.19482......97..14..7...9.29..543.615.1728..3..361....,True,True,0.0025366999907419086,0,81,True,
hard,....3..56....452.7.23.6...4..2.8........763...75...94......47.93..7...2...4.1....,True,True,0.0025661999825388193,0,81,True,
hard,...62.8...9...524.....371563....8...4.6.....3..7...4.1.2.37......41.67.2...5.....,True,True,0.0026558000245131552,0,81,True,
hard,1..43..5..9......6....5.....1.9.....9..2.5.1.4...6..2..2.....7.5.8.4.93....71....,True,True,0.0033943000016734004,0,81,True,
hard,...8.632.958.....7..24....9..4..........7....567.1.9.32..5.1...31...2..8.76.3.2..,True,True,0.0029341999907046556,0,81,True,
hard,.4.2.978.8..1.5..65...6..242..3....7....712......5....4...13...63...8.5.75......8,True,True,0.0028860000311397016,0,81,True,
hard,5.7.1.9.......5.....683..4.138.6..5...95..3.6.7....89.89.35.4.1.5.........34..5.8,True,True,0.003162299981340766,0,81,True,
hard,.4..1..7....84....9..2.6...2.93.4..73...751.9.....2..8..2....5.4.1.....3.63....8.,True,True,0.002632399962749332,0,81,True,
hard,316.7.2.5.9.1..3...42.5..1..2348597......71..5.....4..2..691.3..7...2..8.........,True,True,0.0028282999992370605,0,81,True,
hard,.84.97.....6..29...5..4....12.9.4.7......5..2................5......8.1.7..23.69.,True,True,0.04020729998592287,1,81,False,
hard,74....13...2.....769..378.41.348..7.85........6..5.......52......49....8...71.4.2,True,True,0.003308999992441386,0,81,True,
expert,.5.3..9..4....95.7.6...7.1......83.......2.4997..3..85...7.3..2.4...173.....2...1,True,True,0.002924600034020841,0,81,True,
expert,.7..4.2.....8..1..5....7.461.24..6.5....7.........3.84...5...2...57.....41.39....,True,True,0.039435199985746294,1,81,False,
expert,....24...91..8..6.2381.7.4...9..85....6.7.4.2.5....81.891.........7.2....6.......,True,True,0.04263070004526526,1,81,False,
expert,....4..3....8..........58.61.39..67.4..5...23.5.......81...974...9..2...7.246...9,True,True,0.04665380000369623,1,81,False,
expert,1..9....72...1.....4....8..4..3.2....5267....6.34...9....5.97.4.3476..........53.,True,True,0.0031758000259287655,0,81,True,
expert,..7..........953....13.78...3..8..7.9.5.....4......92.2...3...9.4.7..6.3.6.9.....,True,True,0.0882034000242129,2,81,False,
expert,..........3..24.67.62.5713....8.5...4....6.1...734...8..84.....52..3...9......2..,True,True,0.04956750001292676,1,81,False,
expert,1......93..7...4.65....4...3...89.7......7..2..6.3..8.8......6....5.....73...25..,True,True,0.04116490000160411,1,81,False,
expert,.....296.......2.7.19.....51...3...63.4.7..8...78........4..723..2..8....6.....1.,True,True,0.04495169996516779,1,81,False,
expert,..7652.....3.....7.1...78....48...7.9...7.1.......52..2...6..945.1...3.8.....85..,True,True,0.04133330000331625,1,81,False,
